Target System,Target Table/Xpath/JSON Schema/Other,Target Column,Transformation/Mapping rules,Source System,Source Table/Xpath/JSON Schema/Other,Source Column
ADW_BDV,BDV_OBJECT_NAME,COLUMN_NAME,Add selection rule,SOURCE_SCHEMA_NAME,SOURCE_OBJECT_NAME,SOURCE_COLUMN_NAME
ADW_BDV,BDV_OBJECT_NAME,COLUMN_NAME,Add selection rule,SOURCE_SCHEMA_NAME,SOURCE_OBJECT_NAME,SOURCE_COLUMN_NAME
ADW_BDV,BDV_OBJECT_NAME,COLUMN_NAME,Add selection rule,SOURCE_SCHEMA_NAME,SOURCE_OBJECT_NAME,SOURCE_COLUMN_NAME
ADW_BDV,BDV_OBJECT_NAME,COLUMN_NAME,Add selection rule,SOURCE_SCHEMA_NAME,SOURCE_OBJECT_NAME,SOURCE_COLUMN_NAME
ADW_BDV,BDV_OBJECT_NAME,COLUMN_NAME,Add selection rule,SOURCE_SCHEMA_NAME,SOURCE_OBJECT_NAME,SOURCE_COLUMN_NAME
ADW_BDV,BDV_OBJECT_NAME,COLUMN_NAME,Add selection rule,SOURCE_SCHEMA_NAME,SOURCE_OBJECT_NAME,SOURCE_COLUMN_NAME
ADW_BDV,BDV_OBJECT_NAME,COLUMN_NAME,Add selection rule,SOURCE_SCHEMA_NAME,SOURCE_OBJECT_NAME,SOURCE_COLUMN_NAME
ADW_BDV,BDV_OBJECT_NAME,COLUMN_NAME,Add selection rule,SOURCE_SCHEMA_NAME,SOURCE_OBJECT_NAME,SOURCE_COLUMN_NAME
ADW_BDV,BDV_OBJECT_NAME,COLUMN_NAME,Add selection rule,SOURCE_SCHEMA_NAME,SOURCE_OBJECT_NAME,SOURCE_COLUMN_NAME
ADW_BDV,BDV_OBJECT_NAME,COLUMN_NAME,Add selection rule,SOURCE_SCHEMA_NAME,SOURCE_OBJECT_NAME,SOURCE_COLUMN_NAME
ADW_BDV,BDV_OBJECT_NAME,COLUMN_NAME,Add selection rule,SOURCE_SCHEMA_NAME,SOURCE_OBJECT_NAME,SOURCE_COLUMN_NAME
ADW_BDV,BDV_OBJECT_NAME,COLUMN_NAME,Add selection rule,SOURCE_SCHEMA_NAME,SOURCE_OBJECT_NAME,SOURCE_COLUMN_NAME
ADW_BDV,BDV_OBJECT_NAME,COLUMN_NAME,Add selection rule,SOURCE_SCHEMA_NAME,SOURCE_OBJECT_NAME,SOURCE_COLUMN_NAME
ADW_BDV,BDV_OBJECT_NAME,COLUMN_NAME,Add selection rule,SOURCE_SCHEMA_NAME,SOURCE_OBJECT_NAME,SOURCE_COLUMN_NAME
